,Q2b,Q2c,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Female,Age,Work_exp
286,1,6.0,4,3,5,4,4,2,4,4,4,4,4,2,3,2,4,2,4,3,4,4,2,4,0,34,3.0
288,1,3.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,1,29,1.0
298,1,2.0,4,4,4,4,4,4,5,5,4,4,5,2,5,1,5,4,1,4,4,4,4,5,0,38,4.0
300,1,2.0,3,4,3,3,4,2,4,5,2,3,4,2,5,1,4,1,1,1,4,4,5,5,0,41,6.0
302,1,5.0,4,5,4,4,4,5,5,4,4,5,4,3,4,1,2,2,1,1,4,4,3,4,0,34,2.0
304,2,4.0,1,4,3,3,3,2,1,4,4,3,4,1,5,1,4,4,1,5,4,5,4,4,0,36,3.0
306,1,6.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,1,34,1.0
308,2,2.0,2,5,4,5,5,5,4,4,4,4,5,3,5,1,5,1,2,2,5,4,4,5,1,47,7.0
310,1,3.0,3,4,3,4,4,4,5,2,4,4,5,5,4,3,3,2,4,2,4,4,4,4,1,35,4.0
314,1,6.0,2,4,4,4,3,4,1,4,2,5,5,3,5,1,2,1,1,1,5,4,4,3,0,41,6.0
316,1,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,30,1.0
318,1,2.0,4,4,4,4,4,4,4,4,2,4,4,1,4,1,1,1,1,1,5,5,4,4,0,42,4.0
320,1,6.0,5,5,5,5,4,5,5,5,1,5,5,5,5,1,3,1,3,3,5,5,5,5,1,29,1.0
322,2,2.0,5,4,3,4,4,4,5,4,2,3,4,4,4,1,2,3,5,1,4,4,4,5,1,36,3.0
324,2,6.0,4,5,5,5,5,5,5,4,4,5,5,5,4,2,3,2,2,2,4,4,4,4,0,31,3.0
326,2,2.0,4,5,4,5,3,4,4,4,4,4,4,3,4,1,4,3,1,4,3,4,4,5,0,35,3.0
328,1,3.0,4,4,4,5,5,4,4,5,3,5,4,3,4,3,4,4,3,4,4,4,4,4,1,30,1.0
330,1,2.0,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,0,41,4.0
332,2,4.0,4,5,4,4,4,4,4,4,4,4,4,2,4,1,4,4,1,2,4,4,4,4,0,42,7.0
334,1,3.0,5,4,5,5,5,4,5,5,1,5,5,2,5,1,4,3,1,1,5,5,5,4,0,39,6.0
336,2,1.0,3,4,4,5,4,5,3,3,3,4,4,4,5,3,3,3,3,3,4,4,3,4,0,45,7.0
338,1,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,30,1.0
340,1,5.0,5,4,4,3,4,5,4,4,5,3,5,1,4,1,1,5,1,1,4,4,3,5,1,37,4.0
342,1,2.0,3,5,5,4,4,4,4,4,2,4,5,2,5,1,2,3,1,4,2,4,5,5,1,30,1.0
344,2,2.0,2,1,1,3,3,3,3,4,3,3,4,3,3,3,4,3,3,3,2,2,3,3,0,38,5.0
346,2,2.0,4,5,5,4,3,5,4,2,1,4,4,1,5,1,3,4,1,1,3,5,5,5,0,35,4.0
350,1,6.0,3,4,4,4,4,4,2,3,5,3,4,2,5,2,3,2,2,2,4,4,4,2,1,30,2.0
352,2,2.0,4,5,4,5,5,4,5,4,4,4,5,1,5,1,5,5,1,4,4,5,4,5,1,32,3.0
354,2,2.0,2,5,5,4,4,4,4,4,5,4,5,5,5,1,5,1,1,1,5,4,5,5,1,43,7.0
